ip_address;tcp_port;device_id;signal_name;registers_type;register_address;bit_number;quantity;word_order;byte_order;value_type;scale;present_value;topic
46.8.210.67;502;100;reg_2;holding registers;40001;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_4;holding registers;40002;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_6;holding registers;40003;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_16;holding registers;40004;2;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_27;holding registers;40005;3;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_28;holding registers;40006;4;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_29;holding registers;40007;5;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_30;holding registers;40008;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_31;holding registers;40009;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_32;holding registers;40010;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_42;holding registers;40011;8;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_44;holding registers;40012;9;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_46;holding registers;40013;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_56;holding registers;40014;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_67;holding registers;40015;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_68;holding registers;40016;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_69;holding registers;40017;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_70;holding registers;40018;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_71;holding registers;40019;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_72;holding registers;40020;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_82;holding registers;40021;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_84;holding registers;40022;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_86;holding registers;40023;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_96;holding registers;40024;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_107;holding registers;40025;;1;big;big;bool;1;0;device100
46.8.210.67;502;100;reg_108;holding registers;40026;;1;big;big;bool;1;0;device100
