device_ip;port;reg_type;reg_address;quantity;bit_number;value_type;scale;name;topic
10.21.105.160;502;hr;1;1;;bool;1;breg_1;testDevice
10.21.105.160;502;hr;3;1;;bool;1;breg_3;testDevice
10.21.105.160;502;hr;5;1;;bool;1;beg_5;testDevice
10.21.105.160;502;hr;15;1;;bool;1;breg_15;testDevice
10.21.105.160;502;hr;26;1;;bool;1;breg_26;testDevice
10.21.105.160;502;hr;27;1;;bool;1;breg_27;testDevice
10.21.105.160;502;hr;28;1;;bool;1;breg_28;testDevice
10.21.105.160;502;hr;29;1;;bool;1;breg_29;testDevice
10.21.105.160;502;hr;30;1;;bool;1;breg_30;testDevice
10.21.105.160;502;hr;31;1;;bool;1;breg_31;testDevice
10.21.105.160;502;hr;41;1;;bool;1;breg_41;testDevice
10.21.105.160;502;hr;43;1;;bool;1;breg_43;testDevice
10.21.105.160;502;hr;45;1;;bool;1;breg_45;testDevice
10.21.105.160;502;hr;55;1;;bool;1;breg_55;testDevice
10.21.105.160;502;hr;66;1;;bool;1;breg_66;testDevice
10.21.105.160;502;hr;67;1;;bool;1;breg_67;testDevice
10.21.105.160;502;hr;68;1;;bool;1;breg_68;testDevice
10.21.105.160;502;hr;69;1;;bool;1;breg_69;testDevice
10.21.105.160;502;hr;70;1;;bool;1;breg_70;testDevice
10.21.105.160;502;hr;71;1;;bool;1;breg_71;testDevice
10.21.105.160;502;hr;81;1;;bool;1;breg_81;testDevice
10.21.105.160;502;hr;83;1;;bool;1;breg_83;testDevice
10.21.105.160;502;hr;85;1;;bool;1;breg_85;testDevice
10.21.105.160;502;hr;95;1;;bool;1;breg_95;testDevice
10.21.105.160;502;hr;106;1;;bool;1;breg_106;testDevice
10.21.105.160;502;hr;107;1;;bool;1;breg_107;testDevice
10.21.105.160;502;hr;108;1;;bool;1;breg_108;testDevice
10.21.105.160;502;hr;109;1;;bool;1;breg_109;testDevice
10.21.105.160;502;hr;110;1;;bool;1;breg_110;testDevice
10.21.105.160;502;hr;111;1;;bool;1;breg_111;testDevice
10.21.105.160;502;hr;119;1;0;bool;1;breg_119;testDevice
10.21.105.160;502;hr;119;1;1;bool;1;breg_119;testDevice
10.21.105.160;502;hr;119;1;2;bool;1;breg_119;testDevice
10.21.105.160;502;hr;119;1;3;bool;1;breg_119;testDevice
10.21.105.160;502;hr;119;1;4;bool;1;breg_119;testDevice
10.21.105.160;502;hr;119;1;5;bool;1;breg_119;testDevice
10.21.105.160;502;hr;119;1;6;bool;1;breg_119;testDevice
10.21.105.160;502;hr;119;1;7;bool;1;breg_119;testDevice
10.21.105.160;502;hr;119;1;8;bool;1;breg_119;testDevice
10.21.105.160;502;hr;119;1;9;bool;1;breg_119;testDevice
10.21.105.160;502;hr;119;1;10;bool;1;breg_119;testDevice
10.21.105.160;502;hr;119;1;11;bool;1;breg_119;testDevice
10.21.105.160;502;hr;119;1;12;bool;1;breg_119;testDevice
10.21.105.160;502;hr;119;1;13;bool;1;breg_119;testDevice
10.21.105.160;502;hr;119;1;14;bool;1;breg_119;testDevice
10.21.105.160;502;hr;119;1;15;bool;1;breg_119;testDevice
10.21.105.160;502;hr;121;1;;bool;1;breg_121;testDevice
10.21.105.160;502;hr;122;1;;bool;1;breg_122;testDevice
10.21.105.160;502;hr;123;1;;bool;1;breg_123;testDevice
10.21.105.160;502;hr;124;1;;bool;1;breg_124;testDevice
10.21.105.160;502;hr;125;1;;bool;1;breg_125;testDevice
10.21.105.160;502;hr;126;1;;bool;1;breg_126;testDevice
10.21.105.160;502;hr;127;1;;bool;1;breg_127;testDevice
10.21.105.160;502;hr;128;1;;bool;1;breg_128;testDevice
10.21.105.160;502;hr;129;1;0;bool;1;breg_129;testDevice
10.21.105.160;502;hr;129;1;1;bool;1;breg_129;testDevice
10.21.105.160;502;hr;129;1;2;bool;1;breg_129;testDevice
10.21.105.160;502;hr;129;1;3;bool;1;breg_129;testDevice
10.21.105.160;502;hr;129;1;4;bool;1;breg_129;testDevice
10.21.105.160;502;hr;129;1;5;bool;1;breg_129;testDevice
10.21.105.160;502;hr;129;1;6;bool;1;breg_129;testDevice
10.21.105.160;502;hr;129;1;7;bool;1;breg_129;testDevice
10.21.105.160;502;hr;129;1;8;bool;1;breg_129;testDevice
10.21.105.160;502;hr;129;1;9;bool;1;breg_129;testDevice
10.21.105.160;502;hr;129;1;10;bool;1;breg_129;testDevice
10.21.105.160;502;hr;129;1;11;bool;1;breg_129;testDevice
10.21.105.160;502;hr;129;1;12;bool;1;breg_129;testDevice
10.21.105.160;502;hr;129;1;13;bool;1;breg_129;testDevice
10.21.105.160;502;hr;129;1;14;bool;1;breg_129;testDevice
10.21.105.160;502;hr;129;1;15;bool;1;breg_129;testDevice
10.21.105.160;502;hr;131;1;;bool;1;breg_131;testDevice
10.21.105.160;502;hr;132;1;;bool;1;breg_132;testDevice
10.21.105.160;502;hr;133;1;;bool;1;breg_133;testDevice
10.21.105.160;502;hr;134;1;;bool;1;breg_134;testDevice
10.21.105.160;502;hr;135;1;;bool;1;breg_135;testDevice
10.21.105.160;502;hr;136;1;;bool;1;breg_136;testDevice
10.21.105.160;502;hr;137;1;;bool;1;breg_137;testDevice
10.21.105.160;502;hr;138;1;;bool;1;breg_138;testDevice
10.21.105.160;502;hr;139;1;0;bool;1;breg_139;testDevice
10.21.105.160;502;hr;139;1;1;bool;1;breg_139;testDevice
10.21.105.160;502;hr;139;1;2;bool;1;breg_139;testDevice
10.21.105.160;502;hr;139;1;3;bool;1;breg_139;testDevice
10.21.105.160;502;hr;139;1;4;bool;1;breg_139;testDevice
10.21.105.160;502;hr;139;1;5;bool;1;breg_139;testDevice
10.21.105.160;502;hr;139;1;6;bool;1;breg_139;testDevice
10.21.105.160;502;hr;139;1;7;bool;1;breg_139;testDevice
10.21.105.160;502;hr;139;1;8;bool;1;breg_139;testDevice
10.21.105.160;502;hr;139;1;9;bool;1;breg_139;testDevice
