device_ip;port;reg_type;reg_address;quantity;bit_number;value_type;scale;name;topic
10.21.105.159;502;hr;23296;2;;uint32;0.1;3_PHASE_SYSTEM_VOLTAGE;device105158
10.21.105.158;502;hr;23298;2;;uint32;0.1;PHASE_VOLTAGE_L1_N;device105158
10.21.105.158;502;hr;23300;2;;uint32;0.1;PHASE_VOLTAGE_L2_N;device-105-158
10.21.105.158;502;hr;23302;2;;uint32;0.1;PHASE_VOLTAGE_L3_N;device-105-158
10.21.105.158;502;hr;23304;2;;uint32;0.1;LINE_VOLTAGE_L1_2;device-105-158
10.21.105.158;502;hr;23306;2;;uint32;0.1;LINE_VOLTAGE_L2_3;device-105-158
10.21.105.158;502;hr;23308;2;;uint32;0.1;LINE_VOLTAGE_L3_1;device-105-158
10.21.105.158;502;hr;23310;2;;uint32;0.01;3_PHASE_SYSTEM_CURRENT;device-105-158
10.21.105.158;502;hr;23312;2;;uint32;0.01;LINE_CURRENT_L1;device-105-158
10.21.105.158;502;hr;23314;2;;uint32;0.01;LINE_CURRENT_L2;device-105-158
10.21.105.158;502;hr;23316;2;;uint32;0.01;LINE_CURRENT_L3;device-105-158
10.21.105.158;502;hr;23360;1;;int16;0.001;3_PHASE_SYS__POWER_FACTOR_I;device-105-158
10.21.105.158;502;hr;23361;1;;int16;0.001;POWER_FACTOR_L1;device-105-158
10.21.105.158;502;hr;23362;1;;int16;0.001;POWER_FACTOR_L2;device-105-158
10.21.105.158;502;hr;23363;1;;int16;0.001;POWER_FACTOR_L3;device-105-158
10.21.105.158;502;hr;23368;1;;int16;0.001;3_PHASE_SYSTEM_COS_fi;device-105-158
10.21.105.158;502;hr;20294;2;;uint32;0.01;3_PHASE_S__REACTIVE_ENERGY;device-105-158
10.21.105.158;502;hr;23369;1;;int16;0.001;PHASE_COS_fi1;device-105-158
10.21.105.158;502;hr;23370;1;;int16;0.001;PHASE_COS_fi2;device-105-158
10.21.105.158;502;hr;23371;1;;int16;0.001;PHASE_COS_fi3;device-105-158
10.21.105.158;502;hr;23340;2;;int32;0.01;APPARENT_POWER_L1;device-105-158
10.21.105.158;502;hr;23342;2;;int32;0.01;APPARENT_POWER_L2;device-105-158
10.21.105.158;502;hr;23344;2;;int32;0.01;APPARENT_POWER_L3;device-105-158
10.21.105.158;502;hr;23324;2;;int32;0.01;ACTIVE_POWER_L1;device-105-158
10.21.105.158;502;hr;23326;2;;int32;0.01;ACTIVE_POWER_L2;device-105-158
10.21.105.158;502;hr;23328;2;;int32;0.01;ACTIVE_POWER_L3;device-105-158
10.21.105.158;502;hr;23330;2;;int32;0.01;3_PHASE_S__REACTIVE_POWER;device-105-158
10.21.105.158;502;hr;23334;2;;int32;0.01;REACTIVE_POWER_L2;device-105-158
10.21.105.158;502;hr;23336;2;;int32;0.01;REACTIVE_POWER_L3;device-105-158
10.21.105.158;502;hr;20482;2;;uint32;0.01;3_PHASE_SYS__ACTIVE_ENERGY;device-105-158
10.21.105.158;502;hr;23346;1;;uint16;0.01;FREQUENCY;device-105-158
10.21.105.158;502;hr;23568;2;;uint32;0.01;MAX_LINE_CURRENT_L1;device-105-158
10.21.105.158;502;hr;23570;2;;uint32;0.01;MAX_LINE_CURRENT_L2;device-105-158
10.21.105.158;502;hr;23572;2;;uint32;0.01;MAX_LINE_CURRENT_L3;device-105-158
10.21.105.158;502;hr;23332;2;;int32;0.01;MAX_3_PHASE_SYS__ACTIVE_POWER;device-105-158
10.21.105.158;502;hr;23338;2;;int32;0.01;MAX_3_PHASE_S__APPARENT_POWER;device-105-158
10.21.105.158;502;hr;23528;2;;int32;0.01;3_PHASE_SYS__ACTIVE_POWER_15_AVER;device-105-158
10.21.105.158;502;hr;23588;2;;int32;0.01;MAX_3_PHASE_SYS__ACTIVE_POWER_15_AVER;device-105-158
10.21.105.158;502;hr;23688;2;;uint32;0.01;VOLTAGE_THD_L1;device-105-158
10.21.105.158;502;hr;23690;2;;uint32;0.01;VOLTAGE_THD_L2;device-105-158
10.21.105.158;502;hr;23692;2;;uint32;0.01;VOLTAGE_THD_L3;device-105-158
10.21.105.158;502;hr;23694;2;;uint32;0.01;CURRENT_THD_L1;device-105-158
10.21.105.158;502;hr;23590;2;;int32;0.01;MAX_ACTIVE_POWER_15_AVER_L1;device-105-158
10.21.105.158;502;hr;23592;2;;int32;0.01;MAX_ACTIVE_POWER_15_AVER_L2;device-105-158
10.21.105.158;502;hr;23594;2;;int32;0.01;MAX_ACTIVE_POWER_15_AVER_L3;device-105-158
10.21.105.158;502;hr;23544;2;;int32;0.01;MAX_3_PHASE_SYS__APPARENT_POWER_15_AVER;device-105-158
10.21.105.158;502;hr;23546;2;;int32;0.01;MAX_APPARERENT_POWER_15_AVER_L1;device-105-158
10.21.105.158;502;hr;23548;2;;int32;0.01;MAX_APPARERENT_POWER_15_AVER_L2;device-105-158
10.21.105.158;502;hr;23550;2;;int32;0.01;MAX_APPARERENT_POWER_15_AVER_L3;device-105-158
