device_ip;port;reg_type;reg_address;quantity;bit_number;value_type;scale;name;topic
46.8.210.67;502;hr;40001;1;;bool;1;reg_1;SimDevice
10.21.105.160;502;hr;40002;1;;bool;1;reg_3;SimDevice
10.21.105.160;502;hr;40003;1;;bool;1;reg_5;SimDevice
10.21.105.160;502;hr;40004;1;;bool;1;reg_15;SimDevice
10.21.105.160;502;hr;40005;1;;bool;1;reg_26;testDevice
10.21.105.160;502;hr;40006;1;;bool;1;reg_27;testDevice
10.21.105.160;502;hr;40007;1;;bool;1;reg_28;testDevice
10.21.105.160;502;hr;40008;1;;bool;1;reg_29;testDevice
10.21.105.160;502;hr;40009;1;;bool;1;reg_30;testDevice
10.21.105.160;502;hr;40010;1;;bool;1;reg_31;testDevice
10.21.105.160;502;hr;40011;1;;bool;1;reg_41;testDevice
10.21.105.160;502;hr;40012;1;;bool;1;reg_43;testDevice
10.21.105.160;502;hr;40013;1;;bool;1;reg_45;testDevice
10.21.105.160;502;hr;40014;1;;bool;1;reg_55;testDevice
10.21.105.160;502;hr;40015;1;;bool;1;reg_66;testDevice
10.21.105.160;502;hr;40016;1;;bool;1;reg_67;testDevice
10.21.105.160;502;hr;40017;1;;bool;1;reg_68;testDevice
10.21.105.160;502;hr;40018;1;;bool;1;reg_69;testDevice
10.21.105.160;502;hr;40019;1;;bool;1;reg_70;testDevice
10.21.105.160;502;hr;40020;1;;bool;1;reg_71;testDevice
10.21.105.160;502;hr;40021;1;;bool;1;reg_81;testDevice
10.21.105.160;502;hr;40022;1;;bool;1;reg_83;testDevice
10.21.105.160;502;hr;40023;1;;bool;1;reg_85;testDevice
10.21.105.160;502;hr;40024;1;;bool;1;reg_95;testDevice
10.21.105.160;502;hr;40025;1;;bool;1;reg_106;testDevice
10.21.105.160;502;hr;40026;1;;bool;1;reg_107;testDevice
10.21.105.160;502;hr;40027;1;;bool;1;reg_108;testDevice
10.21.105.160;502;hr;40028;1;;bool;1;reg_109;testDevice
10.21.105.160;502;hr;40029;1;;bool;1;reg_110;testDevice
10.21.105.160;502;hr;40030;1;;bool;1;reg_111;testDevice
10.21.105.160;502;hr;40031;1;0;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40032;1;1;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40033;1;2;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40034;1;3;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40035;1;4;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40036;1;5;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40037;1;6;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40038;1;7;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40039;1;8;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40040;1;9;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40041;1;10;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40042;1;11;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40043;1;12;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40044;1;13;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40045;1;14;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40046;1;15;bool;1;reg_119;testDevice
10.21.105.160;502;hr;40047;1;;bool;1;reg_121;testDevice
10.21.105.160;502;hr;40048;1;;bool;1;reg_122;testDevice
10.21.105.160;502;hr;40049;1;;bool;1;reg_123;testDevice
10.21.105.160;502;hr;40050;1;;bool;1;reg_124;testDevice
10.21.105.160;502;ir;30051;1;;bool;1;reg_125;testDevice
10.21.105.160;502;ir;30052;1;;bool;1;reg_126;testDevice
10.21.105.160;502;ir;30053;1;;bool;1;reg_127;testDevice
10.21.105.160;502;ir;30054;1;;bool;1;reg_128;testDevice
10.21.105.160;502;ir;30055;1;0;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30056;1;1;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30057;1;2;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30058;1;3;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30059;1;4;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30060;1;5;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30061;1;6;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30062;1;7;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30063;1;8;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30064;1;9;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30065;1;10;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30066;1;11;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30067;1;12;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30068;1;13;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30069;1;14;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30070;1;15;bool;1;reg_129;testDevice
10.21.105.160;502;ir;30071;1;;bool;1;reg_131;testDevice
10.21.105.160;502;ir;30072;1;;bool;1;reg_132;testDevice
10.21.105.160;502;ir;30073;1;;bool;1;reg_133;testDevice
10.21.105.160;502;ir;30074;1;;bool;1;reg_134;testDevice
10.21.105.160;502;ir;30075;1;;bool;1;reg_135;testDevice
10.21.105.160;502;ir;30076;1;;bool;1;reg_136;testDevice
10.21.105.160;502;ir;30077;1;;bool;1;reg_137;testDevice
10.21.105.160;502;ir;30078;1;;bool;1;reg_138;testDevice
10.21.105.160;502;ir;30079;1;0;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30080;1;1;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30081;1;2;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30082;1;3;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30083;1;4;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30084;1;5;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30085;1;6;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30086;1;7;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30087;1;8;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30088;1;9;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30089;1;10;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30090;1;11;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30091;1;12;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30092;1;13;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30093;1;14;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30094;1;15;bool;1;reg_139;testDevice
10.21.105.160;502;ir;30095;1;;bool;1;reg_141;testDevice
10.21.105.160;502;ir;30096;1;;bool;1;reg_142;testDevice
10.21.105.160;502;ir;30097;1;;bool;1;reg_143;testDevice
10.21.105.160;502;ir;30098;1;;bool;1;reg_144;testDevice
10.21.105.160;502;ir;30099;1;;bool;1;reg_145;testDevice
10.21.105.160;502;ir;30100;1;;bool;1;reg_146;testDevice
10.21.105.160;502;hr;40101;1;;bool;1;reg_147;testDevice
10.21.105.160;502;hr;40102;1;;bool;1;reg_148;testDevice
10.21.105.160;502;hr;40103;1;0;bool;1;reg_149;testDevice
10.21.105.160;502;hr;40104;1;1;bool;1;reg_149;testDevice
10.21.105.160;502;hr;40105;1;2;bool;1;reg_149;testDevice
10.21.105.160;502;hr;40106;1;3;bool;1;reg_149;testDevice
10.21.105.160;502;hr;40107;1;4;bool;1;reg_149;testDevice
